device_id    expected_vendor                               inferred_vendor                         dns_number    is_correct
-----------  --------------------------------------------  ------------------------------------  ------------  ------------
s0f7f575d16  sony                                                                                           0             0
sa32529dac8  koogeek                                                                                        0             0
sda70be8d95  apple                                                                                          0             0
s936dbca4cf  espressif                                                                                      0             0
s0b0dafcf14  brother                                                                                        0             0
sa6aaf32520  avm                                                                                            0             0
s7de3747246  apc                                                                                            0             0
s7dea9d80d6  apple                                                                                          0             0
saf98ee5e2b  radio thermostat                                                                               0             0
s1d72e80d32  apc                                                                                            0             0
see09544f52  apc                                                                                            0             0
s694178b11f  netgear                                                                                        0             0
s88c92ffe5b  apc                                                                                            0             0
sebad27b8c1  netgear                                                                                        0             0
sc0b778fe8a  apple                                                                                          0             0
s2175cba0f7  radio thermostat                                                                               0             0
s982b21c7fa  netgear                                                                                        0             0
s5dffd5072e  apple                                                                                          0             0
s457983cdbc  dell                                                                                           0             0
s2dcbf7b146  dell                                                                                           0             0
s659092e591  xerox                                                                                          0             0
s6be9de9c1a  apple                                                                                          0             0
s9856bc6462  apple                                                                                          0             0
scecd4ffd88  canon                                                                                          0             0
s2f59bb19d0  lenovo                                                                                         0             0
sce9943c277  dell                                                                                           0             0
s9dea8cf9df  apple                                                                                          0             0
s95c41d2df6  apc                                                                                            0             0
sbe56fdb506  lenovo                                                                                         0             0
s32382e3fd9  supermicro                                                                                     0             0
sbebe6af210  apple                                                                                          0             0
s79a543bcca  apple                                                                                          0             0
s7c84031fa1  hd home run                                                                                    0             0
s57fe893b0a  yeelight                                                                                       0             0
s9021216c30  xiaomi                                                                                         0             0
se091c343cd  apple                                                                                          0             0
sfc65172e43  sonos                                                                                          0             0
s7b30d60e1b  nintendo                                                                                       0             0
s71f36a94d4  ubiquiti                                                                                       0             0
se30008e741  ubiquiti                                                                                       0             0
s2a6b6a6844  sensorist                                                                                      0             0
s853323e32d  philips                                                                                        0             0
se3412dbcbf  ooma                                                                                           0             0
saf39466ceb  hp                                                                                             0             0
sdb6640d1c0  ring                                                                                           0             0
s119a71dc62  chumby                                                                                         0             0
sf29f903513  tivo                                                                                           0             0
s1ae82c30ce  raspberry pi foundation                                                                        0             0
s996e94ba77  apple                                                                                          0             0
sbabe01065b  apple                                                                                          0             0
s77133347e5  sony                                                                                           0             0
sd782b74af1  samsung                                                                                        0             0
s706abb49a8  raspberry pi                                                                                   0             0
s4cc237a640  sony                                                                                           0             0
s155c440c2e  apple                                                                                          0             0
sb6eb742ad1  apple                                                                                          0             0
sbd5835d283  apple                                                                                          0             0
sf9361cbca7  apple                                                                                          0             0
see8532b270  ikea                                                                                           0             0
s4680174741  apple                                                                                          0             0
sa7493de8f4  nintendo                                                                                       0             0
s74427f7a83  apple                                                                                          0             0
se87893e862  apple                                                                                          0             0
s3736da2ee0  apple                                                                                          0             0
sbc8dbd1e80  apple                                                                                          0             0
s58607369a5  apple                                                                                          0             0
sb086ef24dd  samsung                                                                                        0             0
sd20979cec1  asus                                                                                           0             0
saded529098  amazon                                                                                         0             0
sdc3d00cbd3  wyzecam                                                                                        0             0
s20d607f1e0  samsung                                                                                        0             0
sc6f6c6e5cc  brother                                                                                        0             0
sf1880c74e2  d-link                                                                                         0             0
s1e84bc238f  amazon                                                                                         0             0
s2d0a4d3c75  amazon                                                                                         0             0
s28eb399b5b  apple                                                                                          0             0
s2dad454176  apple                                                                                          0             0
s602e656594  apple                                                                                          0             0
s7cc099fb44  sma                                                                                            0             0
se2184b2153  apple                                                                                          0             0
sf0040cedea  sonos                                                                                          0             0
s1a79785a28  sonos                                                                                          0             0
sa1477052d1  sonos                                                                                          0             0
se9908c130a  sony                                                                                           0             0
s7c31585130  sonos                                                                                          0             0
se3f84bfb22  phillips                                                                                       0             0
s3ea243587f  sonos                                                                                          0             0
s63a7cde228  amazon                                                                                         0             0
sc54b780bb2  apple                                                                                          0             0
s6aaf38c6fd  ikea                                                                                           0             0
s4c4b383d1e  nintendo                                                                                       0             0
s943d2e8e6d  rachio                                                                                         0             0
s209584b91d  apple                                                                                          0             0
sab8c53f7cc  ikea                                                                                           0             0
sc1383fdd0c  apple                                                                                          0             0
sfe934ca0eb  levitron                                                                                       0             0
sa178230de4  nintendo                                                                                       0             0
s3709961f62  google                                                                                         0             0
s19b0ce3d2f  neeo                                                                                           0             0
s8f9679c76b  apple                                                                                          0             0
s312f0816f1  apple                                                                                          0             0
s38aaa5deb9  epson                                                                                          0             0
s5efe068e58  apple                                                                                          0             0
sb3c6724023  philips                                                                                        0             0
s4d6e2ce6b9  apple                                                                                          0             0
sb65d7ce032  apple                                                                                          0             0
s860724ec30  apple                                                                                          0             0
s862a714865  samsung                                                                                        0             0
s13ac430669  netgear                                                                                        0             0
se811db50e8  brother                                                                                        0             0
se73f502e75  apple                                                                                          0             0
s5d26945643  apple                                                                                          0             0
sc249cefa45  apple                                                                                          0             0
sfe8262639f  apple                                                                                          0             0
s086b0cddb3  vantage                                                                                        0             0
s76460c00eb  apple                                                                                          0             0
sa38699ac7e  apple                                                                                          0             0
s78ca73a5ea  siemens                                                                                        0             0
s55071353f8  insteon                                                                                        0             0
sd9a8eb92c9  apple                                                                                          0             0
s65fa01b0fd  apple                                                                                          0             0
s090a89972b  apple                                                                                          0             0
s99a98cb76d  hewlet-packard                                                                                 0             0
scf493db745  idevices                                                                                       0             0
sea70a4cbba  sony                                                                                           0             0
s2e10af6df5  surepet                                                                                        0             0
sdd6a9f5bb9  apple                                                                                          0             0
se8d99f14e2  apple                                                                                          0             0
s38f6b92b0e  silicondust                                                                                    0             0
sfd2269b967  plex                                                                                           0             0
s5817d96b58  apple                                                                                          0             0
sffea60252d  apple                                                                                          0             0
saab4d7b48f  apple                                                                                          0             0
s41aac6ad48  apple                                                                                          0             0
sa436764d56  apple                                                                                          0             0
sd411f7e2a7  linksys                                                                                        0             0
s0cf63b4fb4  hp                                                                                             0             0
sf564a89fab  sony                                                                                           0             0
s858aabf164  google                                                                                         0             0
s7629826931  google                                                                                         0             0
se4d14c6a30  google                                                                                         0             0
s157b95d71e  sony                                                                                           0             0
s1c4bab4fec  linksys                                                                                        0             0
sba3720c4b0  samsung                                                                                        0             0
sb8221cc21d  google                                                                                         0             0
s28f052ef5a  apple                                                                                          0             0
sbcc40895ba  arris                                                                                          0             0
s2d2384a404  etmars                                                                                         0             0
s5bbe4f887e  apple                                                                                          0             0
sc2fd028815  apple                                                                                          0             0
s58d4513038  drobo                                                                                          0             0
saf0ebd0d62  tcl                                                                                            0             0
sa3e07e408e  tcl                                                                                            0             0
saf8f0b869f  epson                                                                                          0             0
s8bfe48708e  unknown                                                                                        0             0
scad7b6109b  hikvision                                                                                      0             0
