device_id    expected_vendor                               inferred_vendor          device_oui                                                         is_correct
s048199d43f  homemade                                      sonoff                   Espressif Inc.                                                              0
sac0bce486e  netgear                                       netgear                  NETGEAR                                                                     1
s4799b31c23  raspberrypi                                   google                   REALTEK SEMICONDUCTOR CORP.                                                 0
s8bfa00daef  samsung                                       samsung                  Samsung Electronics Co.,Ltd                                                 1
s49cf627102  apple                                         apple                    Apple, Inc.                                                                 1
s756ea94e9f  netatmo                                       netatmo                  Netatmo                                                                     1
sd15d25f710  brother                                       brother                  Taiyo Yuden Co., Ltd.                                                       1
s62cfef0c8e  apple                                         apple                    Apple, Inc.                                                                 1
s5716f51da3  apple                                         apple                    Apple, Inc.                                                                 1
sd51926a787  canon                                         canon                    CANON INC.                                                                  1
s64cd537e0d  apple                                         apple                    Apple, Inc.                                                                 1
s7547b4c514  apple                                         apple                    Apple, Inc.                                                                 1
se1350cb667  apple                                         apple                    Apple, Inc.                                                                 1
s8ab61472fb  brother                                       sony                     Hon Hai Precision Ind. Co.,Ltd.                                             0
s12d2045c94  google                                        google                   HTC Corporation                                                             1
s1ffe658f46  apple                                         apple                    Apple, Inc.                                                                 1
s590d10d8e8  apple                                         apple                    Apple, Inc.                                                                 1
s7908a1cac5  apple                                         apple                    Apple, Inc.                                                                 1
s54450b4076  apple                                         apple                    Apple, Inc.                                                                 1
se941245348  apple                                         apple                    Apple, Inc.                                                                 1
s1228fb0a8e  apple                                         apple                    Apple, Inc.                                                                 1
s9429f5d47d  apple                                         apple                    Apple, Inc.                                                                 1
s88d5771610  foscam                                        foscam                   Shenzhen Reecam Tech.Ltd.                                                   1
s6d46feb693  netgear                                       netgear                  NETGEAR                                                                     1
s109e07fa12  hp                                            hp                       Hewlett Packard                                                             1
s2d2bb4e8a5  apple                                         apple                    Apple, Inc.                                                                 1
s06dffcd01d  ubiquiti                                      ubiquiti                 Ubiquiti Networks Inc.                                                      1
sfc6eba23f0  ubiquiti                                      ubiquiti                 Ubiquiti Networks Inc.                                                      1
sd48550efe3  dell                                          dell                     Dell Inc.                                                                   1
s3345c50a1f  ubiquiti                                      ubiquiti                 Ubiquiti Networks Inc.                                                      1
sad076632f0  brother                                       brother                  Brother Industries, LTD.                                                    1
sf68b968e00  hp                                            hp                       Hewlett Packard                                                             1
s4f28dcdd5b  nanoleaf                                      wyze                     IEEE Registration Authority                                                 0
se23efe586d  apple                                         apple                    Apple, Inc.                                                                 1
s711c6dabb0  epson                                         epson                    Seiko Epson Corporation                                                     1
s57353bf5d8  apple                                         apple                    Apple, Inc.                                                                 1
s5d66c0e6e2  epson                                         google                   HTC Corporation                                                             0
se71f1f1800  apple                                         apple                    Apple, Inc.                                                                 1
s6345ccd155  western digital                               western digital          WESTERN DIGITAL                                                             1
s6564411ae7  epson                                         epson                    Seiko Epson Corporation                                                     1
sfdcd9f94cf  brother                                       sony                     Hon Hai Precision Ind. Co.,Ltd.                                             0
s64e1678416  medion                                                                 GoodMan Corporation                                                         0
seb5f28bda4  avm                                                                                                                                                0
secc2c008b6  apple                                         apple                    Apple, Inc.                                                                 1
s5acc0ef7b9  avm                                           avm                      AVM Audiovisuelles Marketing und Computersysteme GmbH                       1
s00e3457f76  unknown                                       hikvision                Hangzhou Hikvision Digital Technology Co.,Ltd.                              0
sc0118c0ff7  unknown                                       panasonic                ASKEY COMPUTER CORP                                                         0
s5c813a8c83  abode                                         wyze                     IEEE Registration Authority                                                 0
s5da1156bfc  neeo                                                                   CC&C Technologies, Inc                                                      0
sc477b82556  neeo                                          ring                     Texas Instruments                                                           0
sc1306ae29e  nest                                          nest                     Nest Labs Inc.                                                              1
s9cd06e5239  apple                                         apple                    Apple, Inc.                                                                 1
sa0f01ecdac  apple                                                                                                                                              0
sa343dc6a41  synology                                      synology                 Synology Incorporated                                                       1
sa44df228ef  koogeek                                       koogeek                  China Dragon Technology Limited                                             1
s17a3a42547  koogeek                                       apple                    Apple, Inc.                                                                 0
se0af8bc242  tado                                          tado                     tado GmbH                                                                   1
s401b292c87  sonos                                         sonos                    Sonos, Inc.                                                                 1
