device_id    expected_vendor                               inferred_vendor            is_same
s0b0dafcf14  brother                                       brother                          1
sa6aaf32520  avm                                           apple                            0
s7de3747246  apc                                           apc                              1
s7dea9d80d6  apple                                         apple                            1
saf98ee5e2b  radio thermostat                              ikea                             0
s1d72e80d32  apc                                           apc                              1
see09544f52  apc                                           apc                              1
s694178b11f  netgear                                       netgear                          1
s88c92ffe5b  apc                                           apc                              1
sebad27b8c1  netgear                                       netgear                          1
sc0b778fe8a  apple                                         apple                            1
s2175cba0f7  radio thermostat                              ikea                             0
s982b21c7fa  netgear                                       netgear                          1
s5dffd5072e  apple                                         apple                            1
s457983cdbc  dell                                          apple                            0
s2dcbf7b146  dell                                          apple                            0
s659092e591  xerox                                         apple                            0
s6be9de9c1a  apple                                         netgear                          0
s9856bc6462  apple                                         apple                            1
scecd4ffd88  canon                                         canon                            1
s2f59bb19d0  lenovo                                        apple                            0
sce9943c277  dell                                          dell                             1
s9dea8cf9df  apple                                         apple                            1
s95c41d2df6  apc                                           apc                              1
sbe56fdb506  lenovo                                        amazon                           0
s32382e3fd9  supermicro                                    apple                            0
sbebe6af210  apple                                         apple                            1
s79a543bcca  apple                                         apple                            1
s7c84031fa1  hd home run                                   silicondust                      0
s57fe893b0a  yeelight                                      xiaomi                           0
s9021216c30  xiaomi                                        xiaomi                           1
se091c343cd  apple                                         apple                            1
sfc65172e43  sonos                                         sonos                            1
s7b30d60e1b  nintendo                                      nintendo                         1
s71f36a94d4  ubiquiti                                      ubiquiti                         1
se30008e741  ubiquiti                                      ubiquiti                         1
s2a6b6a6844  sensorist                                     apple                            0
s853323e32d  philips                                       philips                          1
se3412dbcbf  ooma                                          ooma                             1
saf39466ceb  hp                                            brother                          0
sdb6640d1c0  amazon                                        amazon                           1
s119a71dc62  chumby                                        apple                            0
sf29f903513  tivo                                          samsung                          0
s1ae82c30ce  raspberry pi foundation                       raspberry pi                     0
s996e94ba77  apple                                         apple                            1
sbabe01065b  apple                                         apple                            1
s77133347e5  sony                                          sony                             1
sd782b74af1  samsung                                       samsung                          1
s706abb49a8  raspberry pi                                  raspberry pi                     1
s4cc237a640  sony                                          sony                             1
s155c440c2e  apple                                         apple                            1
sb6eb742ad1  apple                                         apple                            1
sbd5835d283  apple                                         apple                            1
sf9361cbca7  apple                                         apple                            1
see8532b270  ikea                                          ikea                             1
s4680174741  apple                                         apple                            1
sa7493de8f4  nintendo                                      nintendo                         1
s74427f7a83  apple                                         apple                            1
se87893e862  apple                                         apple                            1
s3736da2ee0  apple                                         apple                            1
sbc8dbd1e80  apple                                         apple                            1
s58607369a5  apple                                         apple                            1
sb086ef24dd  samsung                                       samsung                          1
sd20979cec1  asus                                          apple                            0
saded529098  amazon                                        amazon                           1
sdc3d00cbd3  wyzecam                                       wyze                             0
s20d607f1e0  samsung                                       samsung                          1
sc6f6c6e5cc  brother                                       brother                          1
sf1880c74e2  d-link                                        d-link                           1
s1e84bc238f  amazon                                        amazon                           1
s2d0a4d3c75  amazon                                        amazon                           1
s28eb399b5b  apple                                         apple                            1
s2dad454176  apple                                         apple                            1
s602e656594  apple                                         apple                            1
s7cc099fb44  sma                                           apple                            0
se2184b2153  apple                                         apple                            1
sf0040cedea  sonos                                         sonos                            1
s1a79785a28  sonos                                         sonos                            1
sa1477052d1  sonos                                         sonos                            1
se9908c130a  sony                                          brother                          0
s7c31585130  sonos                                         sonos                            1
se3f84bfb22  philips                                       philips                          1
s3ea243587f  sonos                                         sonos                            1
s63a7cde228  amazon                                        amazon                           1
sc54b780bb2  apple                                         apple                            1
s6aaf38c6fd  ikea                                          ikea                             1
s4c4b383d1e  nintendo                                      nintendo                         1
s943d2e8e6d  rachio                                        ikea                             0
s209584b91d  apple                                         apple                            1
sab8c53f7cc  ikea                                          ikea                             1
sc1383fdd0c  apple                                         apple                            1
sfe934ca0eb  levitron                                      leviton                          1
sa178230de4  nintendo                                      nintendo                         1
s3709961f62  google                                        google                           1
s19b0ce3d2f  neeo                                          apple                            0
s8f9679c76b  apple                                         apple                            1
